"51","Ancora d'Ombra (Mitico)","2","L'ombra del bersaglio diventa una fune flessibile che lo ancora al quadretto in cui si trova attualmente"
"52","Animale Antropomorfico","3","L'Animale diventa bipede"
"53","Animale Messaggero","2","Invia un animale Minuscolo in un posto specifico"
"54","Animare Corde","1","Permette a una corda di muoversi a comando"
"55","Animare Morti","3","Crea scheletri e zombi non morti"
"56","Animare Morti (Mitico)P","3","Crea scheletri e zombi non morti"
"57","Animare Morti Inferiore","3","Crea uno scheletro o uno zombi non morto"
"58","Animare Oggetti","6","Anima degli oggetti che attaccano i nemici"
"59","Animare Oggetti (Mitico)","6","Anima degli oggetti che attaccano i nemici"
"60","Animare Pelle","2","Si anima e si possiede la propria pelle come se fosse una creatura a sè"
"61","Animare Vegetali","7","Anima uno o più alberi che attaccano a comando"
"62","Animare Vegetali (Mitico)","7","Anima uno o più alberi che attaccano a comando"
"63","Anticipare Pericolo","1","Concede un bonus a una prova di Iniziativa"
"64","Anticipare Pericolo (Mitico)","1","Concede un bonus a una prova di Iniziativa"
"65","Antipatia","8","L’oggetto o la locazione influenzata respingono certe creature"
"66","Anti-individuazione","3","Nasconde il soggetto a divinazione e scrutamento"
"67","Anti-individuazione Collettivo","4","Come Anti-individuazione, ma si può suddividere la durata tra le creature toccate"
"68","Antiproiettile","2","Si ottiene Bonus di Deviazione +4 alla CA contro attacchi da Armi da Fuoco"
"69","Aprire/Chiudere","0","Apre o chiude oggetti piccoli o leggeri"
"70","Arcobaleno Splendente","6","Crea un arco con frecce di energia luminosa o un ponte che aiuta gli alleati e ostacola gli avversari"
"71","Arcobastone","1","Un arco corto può fungere da randello, o un arco lungo da bastone ferrato"
"72","Arco della Gravità","1","Le frecce infliggono danni come se fossero di una taglia più grandi"
"73","Arco di Fulmini","5","I bersagli in linea subiscono 1d6 danni di elettricità per livello"
"74","Arco di Fulmini (Mitico)P","5","I bersagli in linea subiscono 1d8 danni di elettricità per livello"
"75","Arma di Ghiaccio Sacra","2","Crea un'arma perfetta fatta di acqua santa ghiacciata"
"76","Arma di Ghiaccio Sacrilega","2","Crea un'arma perfetta fatta di acqua sacrilega ghiacciata"
"77","Arma Distruttiva","5","Un’arma da mischia distrugge i non morti"
"78","Arma Infallibile","1","Concede bonus +2, +1 ogni quattro livelli, ai Tiri per Colpire per confermare un colpo critico"
"79","Arma Magica","1","L’arma ottiene bonus +1"
"80","Arma Magica Superiore","3","L'arma ottiene bonus +1 ogni 4 livelli (max +5)"
"81","Arma Magica Superiore (Mitico)P","3","L'arma ottiene bonus +1 ogni 4 livelli (max +5)"
"82","Arma Protettiva","2","L'arma usata come focus di questo incantesimo difende, permettendo di lanciare incantesimi senza provocare Attacchi d'Opportunità"
"83","Arma Ritornante","2","Conferisce ad un'arma la capacità speciale Ritornante"
"84","Arma Ritornante Collettivo","3","Come Arma Ritornante, ma si può suddividere la durata tra le creature toccate"
"85","Arma Spirituale","2","Un’arma magica che attacca di sua volontà"
"86","Arma Spirituale (Mitico)","2","Un’arma magica che attacca di sua volontà"
"87","Arma Stupefacente","2","L’arma ottiene +2 ai danni"
"88","Arma Versatile","3","L’arma supera alcune RD"
"89","Armatura del Sangue","2","Quando si viene feriti il proprio sangue si indurisce, aumentando la CA"
"90","Armatura Istantanea","2","Evoca un’armatura che rimpiazza temporaneamente i vestiti"
"91","Armatura Magica","1","Offre un bonus +4 alla CA di un soggetto"
"92","Armatura Magica (Mitico)","1","Offre un bonus +6 alla CA di un soggetto"
"93","Armatura Passiva","2","L'armatura indossata non rallenta l'incantatore"
"94","Armeggio Alchemico","1","Si trasforma un oggetto alchemico o un'Arma da Fuoco in un altro oggetto della stessa natura"
"95","Arrocco","4","Scambia istantaneamente posto con un singolo alleato"
"96","Artigli Insanguinati","3","Causa Sanguinamento con attacchi naturali"
"97","Ascensione","9","Si concede la 1° Categoria in un Percorso Mitico"
"98","Ascensione (Mitico)","9","Si concede la 1° Categoria in un Percorso Mitico"
"99","Asfissia","5","Il bersaglio soffoca rapidamente fino alla morte"
"100","Asfissia di Massa","9","Una creatura/livello soffoca rapidamente fino alla morte"
"101","Aspetto Animale","2","Si ottengono alcune delle qualità positive di un Animale"
"102","Aspetto Animale (Mitico)","2","Si ottengono alcune delle qualità positive di un Animale"
"103","Aspetto Animale Superiore","3","Come Aspetto Animale, ma si ottengono due qualità"
"104","Aspetto del Cervo","3","+2 alla CA contro gli Attacchi d'Opportunità e aumenta la velocità"
"105","Aspetto del Falco","1","Conferisce bonus alle prove di Percezione e agli attacchi a distanza"
"106","Aspetto del Folletto Stregato","0","Ci si circonda di illusioni fastidiose"
"107","Aspetto del Lupo","4","+4 a Forza e Destrezza, bonus +2 agli attacchi di Sbilanciare"
"108","Aspetto dell'Orso","2","Conferisce bonus +2 alla CA e alle Manovre in Combattimento"
"109","Aspetto Giovanile","1","Il bersaglio appare più giovane"
"110","Aspetto Terrificante","8","Si assume una forma terrificante e di Taglia Grande di se stessi e si emana un'aura che rende le creature Scosse e Spaventate"
"111","Assedio di Alberi","7","Trasforma alberi Grandi in catapulte arboree della medesima Taglia"
"112","Assedio di Alberi Superiore","9","Come Assedio di Alberi, ma può trasformare alberi Enormi e Mastodontici in catapulte arboree della medesima Taglia"
"113","Assemblaggio Telecinetico","2","Assembla una macchina d'assedio usando 1 operatore in meno ogni due livelli"
"114","Assorbire Tossicità","3","Si diventa immuni alle Malattie e alle tossine, assorbendone una per poi diffonderla agli altri"
"115","Astuzia della Volpe","2","+4 a Intelligenza per 1 minuto/livello"
"116","Astuzia della Volpe di Massa","6","Come Incantesimi/Astuzia della Volpe, ma influenza 1 un soggetto/livello"
"117","Atavismo","4","L'Animale ottiene l'archetipo semplice avanzato"
"118","Atavismo di Massa","8","Un Animale/livello ottiene l'archetipo avanzato"
"119","Aura dell'Arconte","3","L'aura penalizza attacchi e CA del nemico"
"120","Aura di Coraggio Superiore","2","Aumenta la forza dell’aura di coraggio del Paladino"
"121","Aura di Devastazione","4","Le creature nell'area diventano Scosse"
"122","Aura Elementale","3","Crea un’aura di energia attorno a sé"
"123","Aura Magica","1","Altera l’aura magica di un oggetto"
"124","Aura Sacra","8","Bonus +4 alla CA, bonus di resistenza +4 ai Tiri Salvezza, e RI 25 contro incantesimi del male"
"125","Aura Sacrilega","8","Bonus +4 alla CA, bonus di resistenza +4 ai Tiri Salvezza, e RI 25 contro incantesimi del bene"
"126","Auree Ampliate","2","Aumenta il raggio di azione delle auree concesse dalla propria classe"
"127","Avversione Pura","2","Il bersaglio deve evitare un'altra creatura"
"128","Azione Condizionata","3","Pone la condizione per far attivare al bersaglio un'azione preparata standard, di movimento o veloce"
"129","Bacche Benefiche","1","2d4 bacche, ognuna cura 1 pf (max 8 pf /24 ore)"
"130","Bacche Benefiche (Mitico)P","1","2d4 bacche, ognuna cura 1 pf (max 8 pf /24 ore)"
"131","Bagliore Solare","7","Il bagliore Acceca e infligge 4d6 danni"
"132","Bagliore Solare (Mitico)P","7","Il bagliore Acceca e infligge 4d8 danni"
"133","Balzo del Saltimbanco","3","Teletrasporta il bersaglio entro 9 metri da se stesso"
"134","Banchetto degli Eroi","6","Cibo per 1 creatura/livello, cura e fornisce bonus di combattimento"
"135","Banchetto di Cenere","2","Un bersaglio soffre di insaziabile fame"
"136","Banchetto di Cenere (Mitico)","2","Un bersaglio soffre di insaziabile fame"
"137","Banchetto di Paura","5","I bersagli sono In Preda al Panico e l'incantatore ottiene Punti Ferita Temporanei"
"138","Bande Protettive","2","Bande di forza proteggono dallo schiacciamento"
"139","Bandire Sembianze","5","Dissolve l’illusione toccata o una creatura mutaforma"
"140","Barba di Ferro","1","Spunta una folta barba di ferro che concede Bonus di Armatura"
"141","Barriera Ablativa","2","Circonda il bersaglio con strati di forza"
"142","Barriera Ablativa (Mitico)","2","Circonda il bersaglio con strati di forza"
"143","Barriera di Lame","6","Una cortina di lame infligge 1d6 danni/livello"
"144","Barriera di Lame (Mitico)","6","Una cortina di lame infligge 1d8 danni/livello"
"145","Barriera Stordente","1","Un campo magico conferisce bonus +1 alla CA e ai Tiri Salvezza e Stordisce una creatura attaccante"
"146","Barriera Stordente Superiore","3","Un campo magico conferisce bonus +2 alla CA e ai Tiri Salvezza e Stordisce più creature attaccanti"
"147","Bastione","7","Crea una barriera di terra spessa 1,5 m"
"148","Bastone dell'Incantesimo","6","Infonde un incantesimo in un bastone ferrato di legno"
"149","Bastone Serpente","5","Trasforma un bastone o altro pezzo di legno in serpenti al proprio comando"
"150","Benedire l'Acqua","1","Rende l’acqua santa"
"151","Benedire un'Arma","1","L’arma ottiene un Colpo Accurato contro i nemici malvagi"
"152","Benedizione","1","Gli alleati ottengono bonus +1 ai Tiri per Colpire e bonus +1 ai Tiri Salvezza contro Paura"
"153","Benedizione (Mitico)","1","Gli alleati ottengono bonus +1 ai Tiri per Colpire e ai tiri per i danni e bonus +1 ai Tiri Salvezza"
"154","Benedizione del Coraggio e della Vita","2","Conferisce bonus +2 ai tiri salvezza contro paura e morte"
"155","Benedizione del Fervore","4","Dona agli alleati una scelta di benefici"
"156","Benedizione del Fervore (Mitico)","4","Dona agli alleati una scelta di benefici"
"157","Benedizione della Fortuna e della Fermezza","2","Il bersaglio ottiene dei bonus contro paura"
"158","Benedizione della Fortuna e della Fermezza di Massa","6","I bersagli ottengono dei bonus contro paura"
"159","Benedizione della Salamandra","4","Il soggetto ottiene guarigione rapida 5, resistenza al fuoco 20 e +2 alla DMC"
"160","Benedizione della Talpa","3","1 alleato/liv ottieni Scurovisione e bonus +2 a Forza"
"161","Benedizione Karmica","1","Il bersaglio considera un'abilità a scelta come se fosse un'abilità di classe"
"162","Biga Fantomatica","4","Evoca una biga pesante quasi reale trainata da quattro cavalli"
"163","Biografia del Sangue","3","Si apprendono notizie di una creatura attraverso il suo sangue"
"164","Blasfemia","7","Uccide, Paralizza, indebolisce o Frastorna i soggetti non malvagi"
"165","Blasfemia (Mitico)","7","Uccide, Paralizza, indebolisce o Frastorna i soggetti non malvagi"
"166","Blocca Animali","2","Paralizza un animale per 1 round/livello"
"167","Blocca Mostri","5","Come Blocca Persone, ma su qualsiasi creatura"
"168","Blocca Mostri di Massa","9","Come Blocca Mostri, ma su tutti entro 9 m"
"169","Blocca Persone","2","Paralizza un umanoide per 1 round/livello"
"170","Blocca Persone di Massa","7","Come Blocca Persone, ma su tutti quelli che si trovano entro 9 m"
"171","Blocca Porte","1","Tiene una porta chiusa"
"172","Blocca Porte (Mitico)","1","Tiene una porta chiusa"
"173","Bloccare Sguardo","1","Costringe il bersaglio a guardare solo l'incantatore per la durata dell'incantesimo"
"174","Bocca Magica","2","Gli oggetti parlano una volta quando attivata"
"175","Bolla d'Aria","1","Crea una piccola sacca d'aria attorno alla propria testa o a un oggetto"
"176","Bolla di Vita","5","Protegge le creature dall’ambiente"
"177","Bollire Sangue","2","I bersagli subiscono danni da fuoco; gli orchi ottengono +2 a Forza"
"178","Bollire Sangue (Mitico)P","2","I bersagli subiscono danni da fuoco; gli orchi ottengono +2 a Forza"
"179","Bomba Gonfia","4","Uccide una creatura debole e ne converte il cadavere in una trappola esplosiva"
"180","Borseggio Prensile","3","La coda del bersaglio si muove e agisce rapidamente, come se possedesse una mente propria"
"181","Boschetto del Riposo","4","Crea alberi e una piccola sorgente"
"182","Braccio Lungo","1","Allunga le braccia, concedendo portata extra"
"183","Brezza Gentile","1","Un vento leggero protegge un bersaglio da nubi, gas, calore e vapori"
"184","Bruciare Legami","1","1d6 danni/livello (max 5d6) ai vincoli"
"185","Buchetta","1","Un piccolo buco che sbilancia le creature"
"186","Buone Speranze","3","I soggetti ottengono bonus +2 ai tiri per colpire, per i danni, ai tiri salvezza e alle prove"
"187","Cacofonia Diversiva","3","Rende difficile lanciare incantesimi"
"188","Caduta Morbida","1","Oggetti o creature cadono lentamente"
"189","Caduta Morbida (Mitico)P","1","Oggetti o creature cadono lentamente"
"190","Calappio","2","Crea una trappola magica"
"191","Calmare Animali","1","Calma 2d4 + livello DV di animali"
"192","Calmare Costrutto","5","Riduce la probabilità di andare in berserk di un costrutto"
"193","Calmare Emozioni","2","Calma le creature, negando gli effetti delle emozioni"
"194","Calore Curativo","4","Si fornisce l'immunità temporanea ai danni da fuoco come per Protezione dall'Energia"
"195","Camminare nel Vento","6","Insieme ai propri alleati si diventa inconsistenti e si può viaggiare velocemente"
"196","Camminare nell'Aria","4","Il soggetto cammina nell’aria come se fosse solida (sale a un’angolazione di 45°)"
"197","Camminare nell'Aria Collettivo","5","Come Camminare nell'Aria, ma si può suddividere la durata tra le creature toccate"
"198","Camminare nelle Ombre","6","Permette di entrare nell’ombra per viaggiare rapidamente"
"199","Camminare nello Spazio","6","Si può usare un'Azione di Movimento per teletrasportarsi di 9 metri o per rialzarsi da Prono senza provocare Attacchi d'Opportunità"
"200","Camminare nello Spazio (Mitico)","6","Si può usare un'azione di movimento per teletrasportarsi di 18 metri o per rialzarsi da Prono senza provocare Attacchi d'Opportunità"
"201","Camminare sull'Acqua","3","Il soggetto cammina sull’acqua come se fosse solida"
"202","Camminare sull'Acqua Collettivo","2","Come Camminare sull'Acqua, ma si può suddividere la durata tra le creature toccate"
"203","Campana Accrescente","6","L'oggetto toccato infligge danno sonoro che aumenta ogni round"
"204","Campo Antimagia","6","Nega la magia nel raggio di 3 m"
"205","Campo Antimagia (Mitico)","6","Nega la magia nel raggio di 3 m"
"206","Camuffamento Fantasma","2","Si appare come un fantasma"
"207","Camuffamento Regolabile","3","Come Camuffare Se Stesso, ma si può cambiare camuffamento come azione veloce"
"208","Camuffare Altri","2","Camuffare Se Stesso su un alleato"
"209","Camuffare Arma","1","Cambia l'aspetto di un'arma"
"210","Camuffare Se Stesso","1","Modifica l’aspetto"
"211","Cancellare","1","Scritte normali o magiche svaniscono"
"212","Candela di Morte","1","Funziona come Rintocco di Morte, ma si evoca un Elementale del Fuoco Piccolo]"
"213","Cannone Arcano","7","Il focus diventa un cannone magico che spara da solo"
"214","Cannone Arcano (Mitico)","7","Il focus diventa un cannone magico che spara da solo"
"215","Canto di Discordia","5","Costringe i bersagli ad attaccarsi l’uno con l’altro"
"216","Canto di Marcia","2","Gli alleati possono andare veloci senza penalità mentre il Bardo canta"
"217","Canto Laborioso","1","Il beneficio di Ispirare Competenza viene prolungato"
"218","Capanna","3","Crea riparo per 10 creature"
"219","Capelli Strangolanti","3","I propri capelli si animano e strangolano"
"220","Capelli Strangolanti (Mitico)","3","I propri capelli si animano e strangolano"
"221","Cappa di Vespe","4","Uno sciame di vespe che difende o trasporta"
"222","Cappa di Vespe (Mitico)","4","Uno sciame di vespe che difende o trasporta"
"223","Carica dell'Uncino di Forza","3","Un uncino di forza trascina l'incantatore verso il bersaglio"
"224","Carica Telecinetica","4","Lancia in aria un alleato"
"225","Carico della Formica","1","Triplica la capacità di trasporto della creatura"
"226","Carico della Formica Collettivo","2","Come Carico della Formica, ma si può suddividere la durata tra le creature toccate"
"227","Carne in Pietra","6","Trasforma una creatura in una statua"
"228","Carne in Pietra (Mitico)P","6","Trasforma una creatura in una statua"
"229","Castigo","3","L’attaccante recente subisce penalità"
"230","Catena di Fulmini","6","1d6 danni/livello; 1 fulmine secondario/livello"
"231","Catena di Fulmini (Mitico)","6","1d10 danni/livello; 1 fulmine secondario/livello"
"232","Catena di Perdizione","3","Crea una catena di forza fluttuante"
"233","Catene di Fuoco","6","Funziona come Catena di Fulmini, ma infligge danni da fuoco"
"234","Cavalcare il Fulmine","9","Trasforma in elettricità"
"235","Cavalcare le Onde","4","Il soggetto può respirare sott'acqua e nuotare"
"236","Cavalcatura","1","Evoca un cavallo da galoppo per 2 ore/livello"
"237","Cavalcatura Collettivo","2","Come Cavalcatura, ma si può suddividere la durata tra le creature toccate"
"238","Cavalcatura Addestrata alla Guerra","1","L'animale ottiene l'addestramento al compito generico combattere"
"239","Cecità/Sordità","2","Rende il soggetto Cieco o Sordo"
"240","Cecità/Sordità (Mitico)","2","Rende il soggetto Cieco o Sordo"
"241","Celare","7","Il soggetto è invisibile alla vista e allo scrutamento; fa cadere la creatura in uno stato comatoso"
"242","Cercare Pensieri","3","Individua i pensieri di creature senzienti"
"243","Cerchio di Chiarezza","7","Emanazione che contrasta illusioni e Furtività"
"244","Cerchio di Morte","6","Uccide 1d4 DV di creature/livello"
"245","Cerchio di Morte (Mitico)P","6","Uccide 1d6 DV di creature/livello"
"246","Cerchio di Teletrasporto","9","Un cerchio teletrasporta qualsiasi creatura che vi entri in un posto prestabilito"
"247","Cerchio Magico Contro il Bene","3","Come gli incantesimi Protezione dal Bene, ma ha un raggio di 3 m e una durata di 10 minuti/livello"
"248","Cerchio Magico Contro il Caos","3","Come gli incantesimi Protezione dal Caos, ma ha un raggio di 3 m e una durata di 10 minuti/livello"
"249","Cerchio Magico Contro il Male","3","Come gli incantesimi Protezione dal Male, ma ha un raggio di 3 m e una durata di 10 minuti/livello"
"250","Cerchio Magico Contro la Legge","3","Come gli incantesimi Protezione dalla Legge, ma ha un raggio di 3 m e una durata di 10 minuti/livello"
"251","Charme su Animali","1","Rende un animale amichevole"
"252","Charme su Persone","1","Rende una persona amichevole"
"253","Charme sui Mostri","4","Convince un mostro che si è suoi alleati"
"254","Charme sui Mostri di Massa","8","Come Charme sui Mostri, ma ha effetto sui presenti entro 9 m"
"255","Chiaroudienza/Chiaroveggenza","3","Si vede o sente a distanza per 1 minuto/livello"
"256","Clone","8","Un duplicato che si risveglia quando l’originale muore"
"257","Collegamento Vitale al Compagno","2","Si percepisce quando il compagno è ferito e lo si raggiunge nel momento del bisogno"
"258","Collera dell'Ordine","4","Danneggia e Frastorna le creature caotiche (1d8 danni ogni 2 livelli)"
"259","Collera dell'Ordine (Mitico)","4","Danneggia e Frastorna le creature caotiche (1d12 danni ogni 2 livelli)"
"260","Colpi Debilitanti","2","Qualsiasi creatura attacchi l'incantatore viene contagiato da Malattie"
"261","Colpo Accurato","1","Bonus +20 al proprio successivo tiro per colpire"
"262","Colpo Accurato (Mitico)P","1","Bonus +20 al proprio successivo tiro per colpire"
"263","Colpo del Corvo Sanguinario","4","I colpi senz'armi creano dei corvi che infliggono danni da fuoco e da energia negativa"
"264","Colpo del Corvo Sanguinario (Mitico)","4","I colpi senz'armi creano dei corvi che infliggono danni da fuoco e da energia negativa"
"265","Colpo di Energia d'Assedio","5","Una macchina d'assedio Grande infligge danni da energia dell'energia indicata con altri effetti a seconda del tipo prescelto"
"266","Colpo di Energia d'Assedio Superiore","6","Come Colpo di Energia d'Assedio, ma si può influenzare una macchina d'assedio di qualsiasi Taglia"
"267","Colpo di Ghiaccio Freddo","6","Una linea di schegge di ghiaccio infligge 1d6 danni da freddo/livello"
"268","Colpo di Ragnatela","1","Si lancia una palla di ragnatele contro il bersaglio"
"269","Colpo di Rimbalzo","2","Infonde in un proiettile la capacità di rimbalzare"
"270","Colpo di Rimbalzo (Mitico)P","2","Infonde in un proiettile la capacità di rimbalzare"
"271","Colpo di Rinculo","2","Le munizioni nell'Arma da Fuoco bersaglio generano un eccessivo rinculo"
"272","Colpo Doloroso","3","Infligge 1d6 danni non letali 1 round/livello"
"273","Colpo Doloroso di Massa","5","Come Colpo Doloroso, ma su più creature"
"274","Colpo Fragoroso","2","Le munizioni nell'Arma da Fuoco bersaglio assordano gli avversari"
"275","Colpo Infuocato","4","Colpisce i nemici con un fuoco divino (1d6 danni/livello)"
"276","Colpo Infuocato (Mitico)","4","Colpisce i nemici con un fuoco divino (1d8 danni/livello)"
"277","Colpo Riflesso","1","Si possono colpire più avversari con un singolo attacco"
"278","Colpo Riverberante","4","L’attacco in mischia infligge ulteriori 1d6 danni"
"279","Comandare Non Morti","2","Una creatura Non Morta obbedisce ai propri ordini"
"280","Comandare Vegetali","3","Influenza le azioni di una o più creature vegetali"
"281","Comando","1","Un soggetto obbedisce a un ordine selezionato per 1 round"
"282","Comando (Mitico)","1","Un soggetto obbedisce a un ordine selezionato per 1 round"
"283","Comando di Liberazione","1","Il bersaglio effettua una prova di Artista della Fuga come Azione Immediata ottenendo un bonus"
"284","Comando Omicida","1","Un soggetto è obbligato a uccidere un suo alleato"
"285","Comando Omicida (Mitico)P","1","Un soggetto è obbligato a uccidere un suo alleato"
"286","Comando Superiore","5","Come Comando, ma influenza 1 soggetto/livello"
"287","Combattente Impreparato","1","Il bersaglio subisce penalità -4 ad Iniziativa e ai Tiri Salvezza su Riflessi"
"288","Comprensione dei Linguaggi","1","Si capiscono tutti i linguaggi"
"289","Comunione","5","Una divinità risponde con un sì o un no a 1 domanda/livello"
"290","Comunione con gli Uccelli","2","Si formula una domanda nella forma di un richiamo per uccelli, i quali rispondono"
"291","Comunione con la Natura","4","Si apprende com’è fatto il territorio nel raggio di 1,5 km/livello"
"292","Concedere Auree","3","Trasferisce le proprie auree da Paladino o Antipaladino a un'altra creatura"
"293","Concedere Cognizione","2","Si ottiene un bonus a un'Abilità nella quale si possiede almeno un grado"
"294","Concedere Giudizio","1","Gli alleati ottengono i benefici di un giudizio"
"295","Concedere Giudizio Superiore","5","L'alleato riceve tutti i giudizi dell'Inquisitore"
"296","Concedere Grazia","2","Il soggetto ottiene un bonus ai tiri salvezza pari al modificatore di Carisma"
"297","Concedere Grazia del Campione","7","Il bersaglio ottiene le capacità del paladino per 1 round/liv"
"298","Concedere Percorso","5","L'incantatore trasferisce temporaneamente una delle sue capacità di Percorso Mitico a un'altra creatura"
"299","Concordanza Arcana","3","Concede metamagia a incantesimi arcani"
"300","Condividere Furia","4","Come Furia, ma su più creature"
"301","Condividere Gloria","3","L'incantatore infonde nei bersagli una frazione della sua natura mitica"
"302","Condividere Linguaggio","2","Il soggetto comprende il linguaggio scelto"
"303","Condividere Linguaggio Collettivo","3","Come Condividere Linguaggio, ma si può suddividere la durata tra le creature toccate"
"304","Condividere Memoria","2","Condivide un ricordo col bersaglio"
"305","Condividere Sensi","4","Gli amici percepiscono ciò che vi circonda"
"306","Condotto dell'Evocatore","5","Il bersaglio subisce danni ogni volta che ne subisce la sua creatura evocata"
"307","Condotto Vitale","1","Si è legati più saldamente del normale al proprio Eidolon e si possono condividere con lui i Punti Ferita attraverso la capacità Legame Vitale"
"308","Condotto Vitale Migliorato","3","Trasferisce 2d6 Punti Ferita al proprio Eidolon come Azione Veloce"
"309","Condotto Vitale Superiore","5","Trasferisce 3d6 Punti Ferita al proprio Eidolon come Azione Veloce"
"310","Conferire Competenza nelle Armi","2","Concede a una creatura la competenza in una singola arma per un breve periodo"
"311","Confessione","2","La creatura risponde sinceramente o subisce 1d6 danni/due livelli (max 5d6)"
"312","Confessione Cremisi","2","Toccando l'oggetto o l'area marchiati, la pelle diventa rossa"
"313","Confondere Ammaliamento","4","Inganna l'avversario che tenta di lanciare un Ammaliamento"
"314","Confusione","4","Rende bizzarro il comportamento del soggetto per 1 round/livello"
"315","Confusione (Mitico)P","4","Rende bizzarro il comportamento del soggetto per 1 round/livello"
"316","Confusione Inferiore","1","Una creatura è confusa per 1 round"
"317","Congedo","5","Costringe una creatura a tornare sul suo piano"
"318","Congelamento","1","Il bersaglio subisce danni da freddo ed è Affaticato"
"319","Cono di Freddo","5","1d6 danni da freddo/livello"
"320","Cono di Freddo (Mitico)P","5","1d10 danni da freddo/livello"
"321","Conoscenza delle Leggende","6","Si apprendono storie su una persona, un luogo o un oggetto"
"322","Conoscere Direzione","0","Si riesce ad individuare il nord"
"323","Conoscere il Nemico","1","Si ottiene +10 alle prove di Conoscenze su un mostro"
